repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/Chart.js.md,0.0,0.0,0.5187,0.9,1.0,0.55,0.303171,0.0,0.520442,0.75,0.25,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.550; factual=0.303; actionability=0.000; coherence=0.520; section_coverage=0.750; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.550; factual=0.303; actionability=0.000; coherence=0.520; section_coverage=0.750; key_term_coverage=0.250; leaf_hits=1/1; terms=120
FluentValidation,298069b4ef88241013d0573f38e25c936e80685f,Qwen/Qwen2.5-Coder-7B-Instruct,csharp,outputs/docs/Qwen/FluentValidation.md,0.0,0.0,0.682939,1.0,1.0,0.666667,0.461154,0.333333,0.715831,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.461; actionability=0.333; coherence=0.716; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.461; actionability=0.333; coherence=0.716; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/OpenHands.md,0.0,0.0,0.829423,1.0,1.0,0.683333,0.599254,1.0,0.819373,1.0,0.208333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/electron.md,0.0,0.0,0.72868,1.0,1.0,0.716667,0.553667,0.333333,0.830758,1.0,0.291667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.831; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.831; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120
git-credential-manager,b62021fdd7f0e28bf851580e0afd834976bd79d1,Qwen/Qwen2.5-Coder-7B-Instruct,csharp,outputs/docs/Qwen/git-credential-manager.md,0.0,0.0,0.80652,0.95,1.0,0.671667,0.535085,1.0,0.867797,0.875,0.366667,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.672; factual=0.535; actionability=1.000; coherence=0.868; section_coverage=0.875; key_term_coverage=0.367; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.672; factual=0.535; actionability=1.000; coherence=0.868; section_coverage=0.875; key_term_coverage=0.367; leaf_hits=1/1; terms=120
graphrag,a398cc38bb75c17ee37894f2f2a751e2231d9347,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/graphrag.md,0.0,0.0,0.519895,0.9,1.0,0.573333,0.174706,0.0,0.668583,0.75,0.308333,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.573; factual=0.175; actionability=0.000; coherence=0.669; section_coverage=0.750; key_term_coverage=0.308; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.573; factual=0.175; actionability=0.000; coherence=0.669; section_coverage=0.750; key_term_coverage=0.308; leaf_hits=1/1; terms=120
json,4bc4e37f4f56f88b3a80abb7a6508b19a244e803,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/json.md,0.0,0.0,0.792877,0.95,1.0,0.601667,0.594328,1.0,0.791188,0.875,0.191667,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.602; factual=0.594; actionability=1.000; coherence=0.791; section_coverage=0.875; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.602; factual=0.594; actionability=1.000; coherence=0.791; section_coverage=0.875; key_term_coverage=0.192; leaf_hits=1/1; terms=120
libsql,6e55668cdb1d1d7406ea7fd6eea22991ac1ac301,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/libsql.md,0.0,0.0,0.790143,0.95,1.0,0.631667,0.500156,1.0,0.858523,0.875,0.266667,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.632; factual=0.500; actionability=1.000; coherence=0.859; section_coverage=0.875; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.632; factual=0.500; actionability=1.000; coherence=0.859; section_coverage=0.875; key_term_coverage=0.267; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs/Qwen/logstash.md,0.0,0.0,0.822989,1.0,1.0,0.7,0.52831,1.0,0.848848,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.528; actionability=1.000; coherence=0.849; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.528; actionability=1.000; coherence=0.849; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
marktext,11c8cc1e1929a7975df39fa5f4503130fef53547,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/marktext.md,0.0,0.0,0.616104,0.4,0.0,0.706667,0.486047,1.0,0.717078,1.0,0.266667,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.707; factual=0.486; actionability=1.000; coherence=0.717; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.707; factual=0.486; actionability=1.000; coherence=0.717; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=0/1; terms=120
material-components-android,c2051db2a9be2a1e23f1128bfc76a9ff29ede7c4,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs/Qwen/material-components-android.md,0.0,0.0,0.762654,0.95,1.0,0.631667,0.372969,1.0,0.844847,0.875,0.266667,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.632; factual=0.373; actionability=1.000; coherence=0.845; section_coverage=0.875; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.632; factual=0.373; actionability=1.000; coherence=0.845; section_coverage=0.875; key_term_coverage=0.267; leaf_hits=1/1; terms=120
