repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/Chart.js.md,0.0,0.0,0.718658,1.0,1.0,0.686667,0.553667,0.333333,0.803939,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
FluentValidation,298069b4ef88241013d0573f38e25c936e80685f,deepseek-ai/deepseek-coder-6.7b-instruct,csharp,outputs/docs/DeepSeekCoder/FluentValidation.md,0.0,0.0,0.655339,1.0,1.0,0.7,0.301714,0.333333,0.699971,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.302; actionability=0.333; coherence=0.700; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.302; actionability=0.333; coherence=0.700; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/OpenHands.md,0.0,0.0,0.7121,1.0,1.0,0.68,0.566296,0.333333,0.752273,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/electron.md,0.0,0.0,0.754545,1.0,1.0,0.706667,0.568333,0.5,0.830303,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
git-credential-manager,b62021fdd7f0e28bf851580e0afd834976bd79d1,deepseek-ai/deepseek-coder-6.7b-instruct,csharp,outputs/docs/DeepSeekCoder/git-credential-manager.md,0.0,0.0,0.714934,0.95,1.0,0.588333,0.55,0.666667,0.681779,0.875,0.158333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.588; factual=0.550; actionability=0.667; coherence=0.682; section_coverage=0.875; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.588; factual=0.550; actionability=0.667; coherence=0.682; section_coverage=0.875; key_term_coverage=0.158; leaf_hits=1/1; terms=120
graphrag,a398cc38bb75c17ee37894f2f2a751e2231d9347,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/graphrag.md,0.0,0.0,0.646291,0.95,1.0,0.598333,0.345,0.5,0.650826,0.875,0.183333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.345; actionability=0.500; coherence=0.651; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.345; actionability=0.500; coherence=0.651; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120
json,4bc4e37f4f56f88b3a80abb7a6508b19a244e803,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/json.md,0.0,0.0,0.744741,1.0,1.0,0.67,0.597143,0.5,0.775415,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.597; actionability=0.500; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.597; actionability=0.500; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
libsql,6e55668cdb1d1d7406ea7fd6eea22991ac1ac301,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/libsql.md,0.0,0.0,0.533196,0.85,1.0,0.435,0.474375,0.166667,0.475473,0.625,0.15,1,1,qa_pairs_missing; hierarchy=0.850; leaf_coverage=1.000; structural=0.435; factual=0.474; actionability=0.167; coherence=0.475; section_coverage=0.625; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=0.850; leaf_coverage=1.000; structural=0.435; factual=0.474; actionability=0.167; coherence=0.475; section_coverage=0.625; key_term_coverage=0.150; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/logstash.md,0.0,0.0,0.777236,1.0,1.0,0.656667,0.594688,0.666667,0.846433,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
marktext,11c8cc1e1929a7975df39fa5f4503130fef53547,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/marktext.md,0.0,0.0,0.289356,0.25,0.0,0.401667,0.44,0.0,0.306818,0.625,0.066667,0,1,qa_pairs_missing; hierarchy=0.250; leaf_coverage=0.000; structural=0.402; factual=0.440; actionability=0.000; coherence=0.307; section_coverage=0.625; key_term_coverage=0.067; leaf_hits=0/1; terms=120; matrix: hierarchy=0.250; leaf_coverage=0.000; structural=0.402; factual=0.440; actionability=0.000; coherence=0.307; section_coverage=0.625; key_term_coverage=0.067; leaf_hits=0/1; terms=120
material-components-android,c2051db2a9be2a1e23f1128bfc76a9ff29ede7c4,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/material-components-android.md,0.0,0.0,0.737805,1.0,1.0,0.666667,0.499583,0.666667,0.697033,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.500; actionability=0.667; coherence=0.697; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.500; actionability=0.667; coherence=0.697; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
