repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/OpenHands.md,0.0,0.0,0.829423,1.0,1.0,0.683333,0.599254,1.0,0.819373,1.0,0.208333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/electron.md,0.0,0.0,0.72868,1.0,1.0,0.716667,0.553667,0.333333,0.830758,1.0,0.291667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.831; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.831; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs/Qwen/logstash.md,0.0,0.0,0.822989,1.0,1.0,0.7,0.52831,1.0,0.848848,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.528; actionability=1.000; coherence=0.849; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.528; actionability=1.000; coherence=0.849; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/ml-agents.md,0.0,0.0,0.509156,0.9,1.0,0.52,0.223437,0.0,0.603125,0.75,0.175,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.223; actionability=0.000; coherence=0.603; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.223; actionability=0.000; coherence=0.603; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/puppeteer.md,0.0,0.0,0.725576,1.0,1.0,0.656667,0.592581,0.333333,0.83818,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.593; actionability=0.333; coherence=0.838; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.593; actionability=0.333; coherence=0.838; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/svelte.md,0.0,0.0,0.722417,1.0,1.0,0.666667,0.586667,0.333333,0.811667,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.587; actionability=0.333; coherence=0.812; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.587; actionability=0.333; coherence=0.812; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/wazuh.md,0.0,0.0,0.749001,1.0,1.0,0.763333,0.613462,0.5,0.657615,1.0,0.408333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/OpenHands.md,0.0,0.0,0.7121,1.0,1.0,0.68,0.566296,0.333333,0.752273,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/electron.md,0.0,0.0,0.754545,1.0,1.0,0.706667,0.568333,0.5,0.830303,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/logstash.md,0.0,0.0,0.777236,1.0,1.0,0.656667,0.594688,0.666667,0.846433,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/ml-agents.md,0.0,0.0,0.773627,1.0,1.0,0.666667,0.590333,0.666667,0.814848,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
