model_key,model_name,repo_name,commit_id,doc_path,leaf_count,leaf_used_count,leaf_satisfied,coverage_percent,weighted_quality_percent,notes
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,OpenHands,30604c40fc6e9ac914089376f41e118582954f22,outputs/docs/CodeLlama/OpenHands.md,67,67,7,10.45,10.76,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,outputs/docs/CodeLlama/svelte.md,96,80,10,12.5,12.22,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,puppeteer,c1105f125c71353587a837958c2748097ef2927d,outputs/docs/CodeLlama/puppeteer.md,82,80,0,0.0,0.0,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,outputs/docs/CodeLlama/ml-agents.md,46,46,4,8.7,2.39,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,outputs/docs/CodeLlama/logstash.md,57,57,5,8.77,6.58,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,outputs/docs/CodeLlama/wazuh.md,46,46,21,45.65,48.14,
CodeLlama,meta-llama/CodeLlama-7b-Instruct-hf,electron,828fd59a72e673acf03f878b4f488a40fca46dfe,outputs/docs/CodeLlama/electron.md,92,80,13,16.25,17.24,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,OpenHands,30604c40fc6e9ac914089376f41e118582954f22,outputs/docs/DeepSeekCoder/OpenHands.md,67,67,11,16.42,14.93,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,outputs/docs/DeepSeekCoder/svelte.md,96,80,12,15.0,19.35,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,puppeteer,c1105f125c71353587a837958c2748097ef2927d,outputs/docs/DeepSeekCoder/puppeteer.md,82,80,0,0.0,0.0,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,outputs/docs/DeepSeekCoder/ml-agents.md,46,46,3,6.52,1.82,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,outputs/docs/DeepSeekCoder/logstash.md,57,57,5,8.77,5.36,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,outputs/docs/DeepSeekCoder/wazuh.md,46,46,20,43.48,47.75,
DeepSeekCoder,deepseek-ai/deepseek-coder-6.7b-instruct,electron,828fd59a72e673acf03f878b4f488a40fca46dfe,outputs/docs/DeepSeekCoder/electron.md,92,80,12,15.0,16.41,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,OpenHands,30604c40fc6e9ac914089376f41e118582954f22,outputs/docs/Mistral/OpenHands.md,67,67,8,11.94,9.66,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,outputs/docs/Mistral/svelte.md,96,80,10,12.5,12.22,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,puppeteer,c1105f125c71353587a837958c2748097ef2927d,outputs/docs/Mistral/puppeteer.md,82,80,0,0.0,0.0,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,outputs/docs/Mistral/ml-agents.md,46,46,6,13.04,2.58,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,outputs/docs/Mistral/logstash.md,57,57,4,7.02,6.86,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,outputs/docs/Mistral/wazuh.md,46,46,19,41.3,45.14,
Mistral,mistralai/Mistral-7B-Instruct-v0.3,electron,828fd59a72e673acf03f878b4f488a40fca46dfe,outputs/docs/Mistral/electron.md,92,80,12,15.0,16.41,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,OpenHands,30604c40fc6e9ac914089376f41e118582954f22,outputs/docs/Qwen/OpenHands.md,67,67,20,29.85,25.25,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,outputs/docs/Qwen/svelte.md,96,80,11,13.75,13.24,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,puppeteer,c1105f125c71353587a837958c2748097ef2927d,outputs/docs/Qwen/puppeteer.md,82,80,0,0.0,0.0,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,outputs/docs/Qwen/ml-agents.md,46,46,1,2.17,0.13,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,outputs/docs/Qwen/logstash.md,57,57,15,26.32,35.03,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,outputs/docs/Qwen/wazuh.md,46,46,18,39.13,45.09,
Qwen,Qwen/Qwen2.5-Coder-7B-Instruct,electron,828fd59a72e673acf03f878b4f488a40fca46dfe,outputs/docs/Qwen/electron.md,92,80,15,18.75,21.26,
