model_name,local_quality_score_percent,local_coverage_score_percent,local_completion_rate_percent,paper_system,paper_quality_score_percent,paper_quality_std_percent,delta_quality_percent_vs_paper,comparable_scale,comparison_mode,comparison_note,source,source_url
Qwen/Qwen2.5-Coder-7B-Instruct,77.34,72.88,100.0,DeepWiki,64.06,3.6,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
Qwen/Qwen2.5-Coder-7B-Instruct,77.34,72.88,100.0,CodeWiki-kimi-k2 (open-source),64.8,4.07,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
Qwen/Qwen2.5-Coder-7B-Instruct,77.34,72.88,100.0,CodeWiki-sonnet-4,68.79,3.84,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
deepseek-ai/deepseek-coder-6.7b-instruct,76.09,70.62,100.0,DeepWiki,64.06,3.6,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
deepseek-ai/deepseek-coder-6.7b-instruct,76.09,70.62,100.0,CodeWiki-kimi-k2 (open-source),64.8,4.07,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
deepseek-ai/deepseek-coder-6.7b-instruct,76.09,70.62,100.0,CodeWiki-sonnet-4,68.79,3.84,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
meta-llama/CodeLlama-7b-Instruct-hf,78.76,73.96,100.0,DeepWiki,64.06,3.6,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
meta-llama/CodeLlama-7b-Instruct-hf,78.76,73.96,100.0,CodeWiki-kimi-k2 (open-source),64.8,4.07,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
meta-llama/CodeLlama-7b-Instruct-hf,78.76,73.96,100.0,CodeWiki-sonnet-4,68.79,3.84,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
mistralai/Mistral-7B-Instruct-v0.3,78.21,72.3,100.0,DeepWiki,64.06,3.6,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
mistralai/Mistral-7B-Instruct-v0.3,78.21,72.3,100.0,CodeWiki-kimi-k2 (open-source),64.8,4.07,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
mistralai/Mistral-7B-Instruct-v0.3,78.21,72.3,100.0,CodeWiki-sonnet-4,68.79,3.84,,no,reference_only_non_comparable,Local quality_score uses custom rubric heuristic scale; paper quality uses LLM-as-a-Judge protocol. Use internal ranking only.,"CodeWiki paper (arXiv:2510.24428, v5, Table/Aggregate)",https://arxiv.org/abs/2510.24428
