repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/OpenHands.md,469.198,0,0,0.0,0.815863,0.770215,1.0,1.0,0.693333,0.54,0.666667,0.823657,1.0,0.233333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.540; actionability=0.667; coherence=0.824; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.540; actionability=0.667; coherence=0.824; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/electron.md,261.035,0,0,0.0,0.873548,0.839778,1.0,1.0,0.68,1.0,0.5,0.858523,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=1.000; actionability=0.500; coherence=0.859; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=1.000; actionability=0.500; coherence=0.859; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs/Qwen/logstash.md,306.643,0,0,0.0,0.902736,0.893607,1.0,1.0,0.68,0.889851,1.0,0.864247,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.890; actionability=1.000; coherence=0.864; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.890; actionability=1.000; coherence=0.864; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/ml-agents.md,398.583,0,0,0.0,0.750509,0.673426,1.0,1.0,0.7,0.354554,0.333333,0.750099,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.355; actionability=0.333; coherence=0.750; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.355; actionability=0.333; coherence=0.750; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/puppeteer.md,357.435,0,0,0.0,0.847503,0.801648,1.0,1.0,0.65,1.0,0.333333,0.810985,1.0,0.125,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=1.000; actionability=0.333; coherence=0.811; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=1.000; actionability=0.333; coherence=0.811; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/svelte.md,328.308,0,0,0.0,0.85694,0.812103,1.0,1.0,0.69,0.986,0.333333,0.846019,1.0,0.225,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.986; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.986; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/wazuh.md,333.708,0,0,0.0,0.882981,0.861644,1.0,1.0,0.686667,0.869524,0.833333,0.836039,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.870; actionability=0.833; coherence=0.836; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.870; actionability=0.833; coherence=0.836; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/OpenHands.md,441.324,0,0,0.0,0.854757,0.809652,1.0,1.0,0.676667,1.0,0.333333,0.828788,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.829; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.829; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/electron.md,392.392,0,0,0.0,0.528927,0.637682,0.4,0.0,0.69,0.99,0.333333,0.877879,1.0,0.225,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.690; factual=0.990; actionability=0.333; coherence=0.878; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.690; factual=0.990; actionability=0.333; coherence=0.878; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=0/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/logstash.md,402.623,0,0,0.0,0.845266,0.808576,1.0,1.0,0.69,0.715,0.666667,0.850505,1.0,0.225,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.715; actionability=0.667; coherence=0.851; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.715; actionability=0.667; coherence=0.851; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/ml-agents.md,426.344,0,0,0.0,0.852117,0.810993,1.0,1.0,0.706667,0.826279,0.5,0.862691,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.826; actionability=0.500; coherence=0.863; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.826; actionability=0.500; coherence=0.863; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
