repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/Chart.js.md,0.0,0.0,0.810672,0.95,1.0,0.655,0.580556,1.0,0.857071,0.875,0.325,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.655; factual=0.581; actionability=1.000; coherence=0.857; section_coverage=0.875; key_term_coverage=0.325; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.655; factual=0.581; actionability=1.000; coherence=0.857; section_coverage=0.875; key_term_coverage=0.325; leaf_hits=1/1; terms=120
FluentValidation,298069b4ef88241013d0573f38e25c936e80685f,mistralai/Mistral-7B-Instruct-v0.3,csharp,outputs/docs/Mistral/FluentValidation.md,0.0,0.0,0.645757,1.0,1.0,0.686667,0.20625,0.5,0.614489,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.206; actionability=0.500; coherence=0.614; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.206; actionability=0.500; coherence=0.614; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/OpenHands.md,0.0,0.0,0.73638,0.95,1.0,0.608333,0.27,1.0,0.83809,0.875,0.208333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.608; factual=0.270; actionability=1.000; coherence=0.838; section_coverage=0.875; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.608; factual=0.270; actionability=1.000; coherence=0.838; section_coverage=0.875; key_term_coverage=0.208; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/electron.md,0.0,0.0,0.73093,1.0,1.0,0.716667,0.553667,0.333333,0.845758,1.0,0.291667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120
git-credential-manager,b62021fdd7f0e28bf851580e0afd834976bd79d1,mistralai/Mistral-7B-Instruct-v0.3,csharp,outputs/docs/Mistral/git-credential-manager.md,0.0,0.0,0.701198,0.9,1.0,0.543333,0.55,0.833333,0.58354,0.75,0.233333,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.543; factual=0.550; actionability=0.833; coherence=0.584; section_coverage=0.750; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.543; factual=0.550; actionability=0.833; coherence=0.584; section_coverage=0.750; key_term_coverage=0.233; leaf_hits=1/1; terms=120
graphrag,a398cc38bb75c17ee37894f2f2a751e2231d9347,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/graphrag.md,0.0,0.0,0.722368,1.0,1.0,0.67,0.650435,0.333333,0.721871,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.650; actionability=0.333; coherence=0.722; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.650; actionability=0.333; coherence=0.722; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
json,4bc4e37f4f56f88b3a80abb7a6508b19a244e803,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/json.md,0.0,0.0,0.760278,1.0,1.0,0.65,0.5775,0.666667,0.765188,1.0,0.125,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.577; actionability=0.667; coherence=0.765; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.577; actionability=0.667; coherence=0.765; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120
libsql,6e55668cdb1d1d7406ea7fd6eea22991ac1ac301,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/libsql.md,0.0,0.0,0.766028,1.0,1.0,0.66,0.705517,0.5,0.786163,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.706; actionability=0.500; coherence=0.786; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.706; actionability=0.500; coherence=0.786; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs/Mistral/logstash.md,0.0,0.0,0.582037,0.9,1.0,0.49,0.406522,0.333333,0.551548,0.75,0.1,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.490; factual=0.407; actionability=0.333; coherence=0.552; section_coverage=0.750; key_term_coverage=0.100; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.490; factual=0.407; actionability=0.333; coherence=0.552; section_coverage=0.750; key_term_coverage=0.100; leaf_hits=1/1; terms=120
marktext,11c8cc1e1929a7975df39fa5f4503130fef53547,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/marktext.md,0.0,0.0,0.707843,1.0,1.0,0.686667,0.52963,0.333333,0.763889,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.530; actionability=0.333; coherence=0.764; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.530; actionability=0.333; coherence=0.764; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
material-components-android,c2051db2a9be2a1e23f1128bfc76a9ff29ede7c4,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs/Mistral/material-components-android.md,0.0,0.0,0.657705,0.9,1.0,0.52,0.556875,0.666667,0.482197,0.75,0.175,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.557; actionability=0.667; coherence=0.482; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.557; actionability=0.667; coherence=0.482; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120
