repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/Chart.js.md,0.0,0.0,0.748538,1.0,1.0,0.693333,0.568333,0.5,0.80803,1.0,0.233333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.568; actionability=0.500; coherence=0.808; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.568; actionability=0.500; coherence=0.808; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120
FluentValidation,298069b4ef88241013d0573f38e25c936e80685f,meta-llama/CodeLlama-7b-Instruct-hf,csharp,outputs/docs/CodeLlama/FluentValidation.md,0.0,0.0,0.691213,1.0,1.0,0.683333,0.3432,1.0,0.239374,1.0,0.208333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.343; actionability=1.000; coherence=0.239; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.343; actionability=1.000; coherence=0.239; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/OpenHands.md,0.0,0.0,0.70963,1.0,1.0,0.673333,0.566296,0.333333,0.744697,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.566; actionability=0.333; coherence=0.745; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.566; actionability=0.333; coherence=0.745; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/electron.md,0.0,0.0,0.725453,1.0,1.0,0.706667,0.553667,0.333333,0.822576,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.554; actionability=0.333; coherence=0.823; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.554; actionability=0.333; coherence=0.823; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
git-credential-manager,b62021fdd7f0e28bf851580e0afd834976bd79d1,meta-llama/CodeLlama-7b-Instruct-hf,csharp,outputs/docs/CodeLlama/git-credential-manager.md,0.0,0.0,0.748863,1.0,1.0,0.686667,0.505185,0.666667,0.736616,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.505; actionability=0.667; coherence=0.737; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.505; actionability=0.667; coherence=0.737; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
graphrag,a398cc38bb75c17ee37894f2f2a751e2231d9347,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/graphrag.md,0.0,0.0,0.765831,1.0,1.0,0.663333,0.576552,0.666667,0.785693,1.0,0.158333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.577; actionability=0.667; coherence=0.786; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.577; actionability=0.667; coherence=0.786; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120
json,4bc4e37f4f56f88b3a80abb7a6508b19a244e803,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/json.md,0.0,0.0,0.738622,1.0,1.0,0.65,0.597143,0.5,0.761291,1.0,0.125,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.597; actionability=0.500; coherence=0.761; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.597; actionability=0.500; coherence=0.761; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120
libsql,6e55668cdb1d1d7406ea7fd6eea22991ac1ac301,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/libsql.md,0.0,0.0,0.74207,1.0,1.0,0.66,0.724483,0.333333,0.767825,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.724; actionability=0.333; coherence=0.768; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.724; actionability=0.333; coherence=0.768; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/logstash.md,0.0,0.0,0.831822,1.0,1.0,0.646667,0.622188,1.0,0.853677,1.0,0.116667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.622; actionability=1.000; coherence=0.854; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.622; actionability=1.000; coherence=0.854; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120
marktext,11c8cc1e1929a7975df39fa5f4503130fef53547,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/marktext.md,0.0,0.0,0.527706,0.4,0.0,0.683333,0.52963,0.333333,0.767424,1.0,0.208333,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.683; factual=0.530; actionability=0.333; coherence=0.767; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.683; factual=0.530; actionability=0.333; coherence=0.767; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=0/1; terms=120
material-components-android,c2051db2a9be2a1e23f1128bfc76a9ff29ede7c4,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/material-components-android.md,0.0,0.0,0.790517,1.0,1.0,0.68,0.546333,0.833333,0.801667,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.546; actionability=0.833; coherence=0.802; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.546; actionability=0.833; coherence=0.802; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
